data_content_id,filename,multi_step_id,block_index,rex_type,question_content,detailed_solution,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_F,Feedback_A,Feedback_B,Feedback_C,Feedback_D,Feedback_E,Feedback_F,correct_answer,background,nickname,TEKS,machine_readable_teks,Section_UUID
d586a8a1-c552-4d44-abee-6788e41c635c,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,0,open_ended,"<br/><ol class=""os-raise-noindent"" start=""1"">
<li>What is your favorite type of pizza to order?</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary, but here are some samples: </p>
<ul>
<li>A supreme pizza that has pepperoni, sausage, bell peppers, mushrooms, and olives. </li>
<li>A deep-dish cheese pizza.</li>
<li>A thin crust pizza with hamburger meat.</li>
<li>A Hawaiian pizza that has Canadian bacon and pineapple on it.</li>
<li>Any type of pizza is my favorite!</li>
</ul>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
9bd0cef1-4358-4dfb-8b15-b24f75de4957,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,1,open_ended,"<br/><br/><br/><ol class=""os-raise-noindent"" start=""2"">
<li>How many toppings are on your favorite type of pizza?</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary.</p>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
70c84f14-e296-438d-b4da-83709c6de4b1,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,2,open_ended,"<br/><br/><br/><ol class=""os-raise-noindent"" start=""3"">
<li>What type of crust does your favorite pizza have? </li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary, but here are some samples:</p>
<ul>
<li>Pan crust</li>
<li>Deep-dish</li>
<li>Stuffed crust</li>
<li>Thin and crispy</li>
<li>Hand-tossed</li>
</ul>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
f31efe2e-39fd-4064-b0e1-cf4c0b6a2a0c,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,3,open_ended,"<br/><br/><p>For 4 - 9, use the following group instructions. </p><blockquote>Work with a group to research the cost of ordering pizza from a local restaurant. Then, determine what to order for the class pizza party and determine how much it would cost. Answer the following questions regarding your group's plan. </blockquote><br/><ol class=""os-raise-noindent"" start=""4"">
<li>What is the cost estimate for your group's planned class party?</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary. </p>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
7c4e014c-d78b-4299-b987-e8b0d0c28306,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,4,open_ended,"<br/><br/><br/><ol class=""os-raise-noindent"" start=""5"">
<li>Write down one <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">expression</span> that show how your group’s cost estimate was calculated. </li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary, but here are some samples:</p>
<p>\(10 x (3(1.50) + 21.99) + 2.50\)</p>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
695fb90c-939a-4c55-b9c6-4594d1720af8,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,5,open_ended,"<br/><br/><br/><ol class=""os-raise-noindent"" start=""6"">
<li>In your expression, which quantities, if any, might change on the day of the party? </li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary, but here are some samples:</p>
<ul>
<li>The delivery cost might change.</li>
<li>The number of toppings we select may change.</li>
<li>The total number of pizzas ordered may change if someone is absent.</li>
</ul>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
0f9acc91-8b2d-4874-9ca0-4f668dac8051,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,6,open_ended,"<br/><br/><br/><ol class=""os-raise-noindent"" start=""7"">
<li>Rewrite your expression, replacing the quantities that might change with letters. </li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary, but here is an example.</p>
<p>\((1.50t + 21.99)p + d\)</p>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
b867b24b-f0b4-4a4e-94ab-8f648b982849,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,7,open_ended,"<br/><br/><br/><ol class=""os-raise-noindent"" start=""8"">
<li>What do the letters represent? </li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary, but here are some samples:</p>
<ul>
<li>\(t =\) number of toppings</li>
<li>\(p =\) number of pizzas ordered</li>
<li>\(d =\) delivery charge</li>
</ul>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
6b4a87cd-3fdb-42e6-a065-7d0b95a58256,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_1,8,open_ended,"<br/><br/><br/><ol class=""os-raise-noindent"" start=""9"">
<li>How would you convince the class to go with your group’s plan? </li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Your answer may vary, but here is an example. </p>
<p>Ordering 10 extra large pizzas is cheaper than ordering 30 small pizzas. If three people share a pizza, they can have up to three toppings or they can each get their favorite topping on their portion of the pizza. And, if someone wants more pizza, then two people can share one pizza instead of three people. </p>",,,,,,,,,,,,,,"<p>Imagine your class is having a pizza party.</p><p>Work with your group to plan what to order and to estimate what the party would cost.</p><img alt=""Supreme pizza."" height=""199"" src=""https://k12.openstax.org/contents/raise/resources/6ede448a8b2f209905e73d9225e07b6874b0c363"" width=""300""/><br/>",Alg1_1_1_2_PLA_1,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
36db6222-48b2-4454-b538-2a487cdf0064,eb7e43bf-a0c5-4f7c-9f90-b391a76c3a4f.html,PLA_2,0,open_ended,"<ol class=""os-raise-noindent"">
<li>How did you determine the cost per square inch of each pizza? </li>
</ol><br/><p>Enter your answer here:</p></br>","<p>Compare your answer:</p>
<p>First, determine the total area of the pizza using the area formula for a circle,
      \(\mathrm{πr}^2\). Then, divide the cost of the pizza by the area measurement. The expression could be \(\frac{c}{\mathrm{πr}^2}\), if \(c=\mathrm{cost}\). </p>",,,,,,,,,,,,,,"<p>A local pizzeria sells gourmet pizzas for the prices posted below. Remember the sizes are determined by the diameter of each pizza. Compare the cost per square inch of the sizes. </p>
<table class=""os-raise-horizontaltable"">
<thead>
</thead>
<tbody>
<tr>
<th scope=""row"">Pizza size</th>
<td>10” Small</td>
<td>12” Medium</td>
<td>14” Large</td>
<td>16” XLarge </td>
</tr>
<tr>
<th scope=""row"">Price</th>
<td>$12.99</td>
<td>$15.99</td>
<td>$19.99</td>
<td>$21.99</td>
</tr>
</tbody>
</table>",Alg1_1_1_2_PLA_2,A1.2.C,15afa70a-a5cd-512d-9586-6fb3aaa71e0c,4260f608-3188-4841-99cc-f451df93f13a
