data_content_id,filename,multi_step_id,block_index,rex_type,question_content,detailed_solution,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_F,Feedback_A,Feedback_B,Feedback_C,Feedback_D,Feedback_E,Feedback_F,correct_answer,background,nickname,TEKS,machine_readable_teks,section_UUID
f659ac02-6740-40cd-8442-2e395c18ff76,029799fd-8168-463f-80c3-f0f6156d47b9.html,WU_1,0,open_ended,"<ol class=""os-raise-noindent"" start=""1"" type=""A"">
<li> 30, 40, 50, 60, 70, . . .</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Arithmetic</p>",,,,,,,,,,,,,,"<p>Recall that:</p><p>An arithmetic sequence is a sequence in which each term is the previous term plus a constant.</p><p>A geometric sequence is a sequence in which each term is a constant times the previous term.</p><p>Use the first 5 terms of each sequence to state if the sequence is arithmetic, geometric, or neither.</p><ol class=""os-raise-noindent"" type=""A"">
<li>
    30, 40, 50, 60, 70, . . .
  </li>
<li>
    80, 40, 20, 10, 5, 2.5, . . .
  </li>
<li>
    1, 2, 4, 8, 16, 32, . . .
  </li>
<li>
    1, \(\frac12\), \(\frac14\), \(\frac18\), \(\frac{1}{16}\), . . .
  </li>
<li>
    20, 13, 6, –1, –8, . . .
  </li>
<li>
    1, 3, 7, 15, 31, . . .
  </li>
</ol>",Alg1_4_17_1_WU_1,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f,3c65fbac-3a76-4126-aea8-0624d7778c27
bdc08e15-18bd-4a6e-854a-bfb5981467ab,029799fd-8168-463f-80c3-f0f6156d47b9.html,WU_1,1,open_ended,"<ol class=""os-raise-noindent"" start=""2"" type=""A"">
<li> 80, 40, 20, 10, 5, 2.5, . . .</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p> Geometric</p>",,,,,,,,,,,,,,"<p>Recall that:</p><p>An arithmetic sequence is a sequence in which each term is the previous term plus a constant.</p><p>A geometric sequence is a sequence in which each term is a constant times the previous term.</p><p>Use the first 5 terms of each sequence to state if the sequence is arithmetic, geometric, or neither.</p><ol class=""os-raise-noindent"" type=""A"">
<li>
    30, 40, 50, 60, 70, . . .
  </li>
<li>
    80, 40, 20, 10, 5, 2.5, . . .
  </li>
<li>
    1, 2, 4, 8, 16, 32, . . .
  </li>
<li>
    1, \(\frac12\), \(\frac14\), \(\frac18\), \(\frac{1}{16}\), . . .
  </li>
<li>
    20, 13, 6, –1, –8, . . .
  </li>
<li>
    1, 3, 7, 15, 31, . . .
  </li>
</ol>",Alg1_4_17_1_WU_1,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f,3c65fbac-3a76-4126-aea8-0624d7778c27
56d86eeb-431c-4592-889a-2e3ff5998e17,029799fd-8168-463f-80c3-f0f6156d47b9.html,WU_1,2,open_ended,"<ol class=""os-raise-noindent"" start=""3"" type=""A"">
<li> 1, 2, 4, 8, 16, 32, . . .</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p> Geometric</p>",,,,,,,,,,,,,,"<p>Recall that:</p><p>An arithmetic sequence is a sequence in which each term is the previous term plus a constant.</p><p>A geometric sequence is a sequence in which each term is a constant times the previous term.</p><p>Use the first 5 terms of each sequence to state if the sequence is arithmetic, geometric, or neither.</p><ol class=""os-raise-noindent"" type=""A"">
<li>
    30, 40, 50, 60, 70, . . .
  </li>
<li>
    80, 40, 20, 10, 5, 2.5, . . .
  </li>
<li>
    1, 2, 4, 8, 16, 32, . . .
  </li>
<li>
    1, \(\frac12\), \(\frac14\), \(\frac18\), \(\frac{1}{16}\), . . .
  </li>
<li>
    20, 13, 6, –1, –8, . . .
  </li>
<li>
    1, 3, 7, 15, 31, . . .
  </li>
</ol>",Alg1_4_17_1_WU_1,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f,3c65fbac-3a76-4126-aea8-0624d7778c27
9f7a629f-f5a8-43ca-bffd-9b77638d435e,029799fd-8168-463f-80c3-f0f6156d47b9.html,WU_1,3,open_ended,"<ol class=""os-raise-noindent"" start=""4"" type=""A"">
<li> 1, \(\frac12\), \(\frac14\), \(\frac18\), \(\frac{1}{16}\), . . .</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p> Geometric</p>",,,,,,,,,,,,,,"<p>Recall that:</p><p>An arithmetic sequence is a sequence in which each term is the previous term plus a constant.</p><p>A geometric sequence is a sequence in which each term is a constant times the previous term.</p><p>Use the first 5 terms of each sequence to state if the sequence is arithmetic, geometric, or neither.</p><ol class=""os-raise-noindent"" type=""A"">
<li>
    30, 40, 50, 60, 70, . . .
  </li>
<li>
    80, 40, 20, 10, 5, 2.5, . . .
  </li>
<li>
    1, 2, 4, 8, 16, 32, . . .
  </li>
<li>
    1, \(\frac12\), \(\frac14\), \(\frac18\), \(\frac{1}{16}\), . . .
  </li>
<li>
    20, 13, 6, –1, –8, . . .
  </li>
<li>
    1, 3, 7, 15, 31, . . .
  </li>
</ol>",Alg1_4_17_1_WU_1,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f,3c65fbac-3a76-4126-aea8-0624d7778c27
4485f5d8-89c3-48df-8179-33df04bd24b9,029799fd-8168-463f-80c3-f0f6156d47b9.html,WU_1,4,open_ended,"<ol class=""os-raise-noindent"" start=""5"" type=""A"">
<li> 20, 13, 6, –1, –8, . . .</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Arithmetic</p>",,,,,,,,,,,,,,"<p>Recall that:</p><p>An arithmetic sequence is a sequence in which each term is the previous term plus a constant.</p><p>A geometric sequence is a sequence in which each term is a constant times the previous term.</p><p>Use the first 5 terms of each sequence to state if the sequence is arithmetic, geometric, or neither.</p><ol class=""os-raise-noindent"" type=""A"">
<li>
    30, 40, 50, 60, 70, . . .
  </li>
<li>
    80, 40, 20, 10, 5, 2.5, . . .
  </li>
<li>
    1, 2, 4, 8, 16, 32, . . .
  </li>
<li>
    1, \(\frac12\), \(\frac14\), \(\frac18\), \(\frac{1}{16}\), . . .
  </li>
<li>
    20, 13, 6, –1, –8, . . .
  </li>
<li>
    1, 3, 7, 15, 31, . . .
  </li>
</ol>",Alg1_4_17_1_WU_1,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f,3c65fbac-3a76-4126-aea8-0624d7778c27
eb071d29-14a6-4909-b8be-a271c8c121f3,029799fd-8168-463f-80c3-f0f6156d47b9.html,WU_1,5,open_ended,"<ol class=""os-raise-noindent"" start=""6"" type=""A"">
<li> 1, 3, 7, 15, 31, . . .</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>Neither</p>",,,,,,,,,,,,,,"<p>Recall that:</p><p>An arithmetic sequence is a sequence in which each term is the previous term plus a constant.</p><p>A geometric sequence is a sequence in which each term is a constant times the previous term.</p><p>Use the first 5 terms of each sequence to state if the sequence is arithmetic, geometric, or neither.</p><ol class=""os-raise-noindent"" type=""A"">
<li>
    30, 40, 50, 60, 70, . . .
  </li>
<li>
    80, 40, 20, 10, 5, 2.5, . . .
  </li>
<li>
    1, 2, 4, 8, 16, 32, . . .
  </li>
<li>
    1, \(\frac12\), \(\frac14\), \(\frac18\), \(\frac{1}{16}\), . . .
  </li>
<li>
    20, 13, 6, –1, –8, . . .
  </li>
<li>
    1, 3, 7, 15, 31, . . .
  </li>
</ol>",Alg1_4_17_1_WU_1,A1.12.C,b0089912-452a-5a24-9b70-573faa30c80f,3c65fbac-3a76-4126-aea8-0624d7778c27
,02996426-576c-41ba-817b-4086e90b81a2.html,WU_2,0,open_ended,"<p>Table A</p>
<table class=""os-raise-horizontaltable"">
<thead></thead>
<tbody>
<tr>
<th scope=""row"">\(x\)</th>
<td>
          0
          </td>
<td>
           1
          </td>
<td>
            2
          </td>
<td>
            3
          </td>
<td>
            4
          </td>
<td>
           25
          </td>
</tr>
<tr>
<th scope=""row"">\(y\)</th>
<td>
            2.5
          </td>
<td>
            10
          </td>
<td>
            17.5
          </td>
<td>
            25
          </td>
<td> </td>
<td> </td>
</tr>
</tbody>
</table>","
<p>Compare your answers:</p>
<p>Table A: 32.5 when \(x\) is 4, and 190 (or \(2.5+25 \cdot 7.5\)) when \(x\) is 25.</p>
",,,,,,,,,,,,,,"<p>Use the patterns you notice to complete the tables. Show your reasoning. Complete your work on paper. Then select the
  <strong>Solution</strong> button to compare your work.</p>",Alg1_5_5_1_WU_2,"A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,cc5e36e1-0279-5845-a28a-39cdd69d59f7",259a08d0-36dc-4e41-bd40-0d48adf31822
,02996426-576c-41ba-817b-4086e90b81a2.html,WU_2,1,open_ended,"<p>Table B</p>
<table class=""os-raise-horizontaltable"">
<thead></thead>
<tbody>
<tr>
<th scope=""row"">\(x\)</th>
<td>
          0
          </td>
<td>
           1
          </td>
<td>
            2
          </td>
<td>
            3
          </td>
<td>
            4
          </td>
<td>
           25
          </td>
</tr>
<tr>
<th scope=""row"">\(y\)</th>
<td>	
            2.5
          </td>
<td>
            10
          </td>
<td>
            40
          </td>
<td>
            160
          </td>
<td> </td>
<td> </td>
</tr>
</tbody>
</table>","
<p>Compare your answers:</p>
<p>Table B: 640 when \(x\) is 4, and \(2.5 \cdot 4^{25}\) when \(x\) is 25.</p>
",,,,,,,,,,,,,,"<p>Use the patterns you notice to complete the tables. Show your reasoning. Complete your work on paper. Then select the
  <strong>Solution</strong> button to compare your work.</p><div class=""os-raise-ib-content"" data-schema-version=""1.0"" data-wait-for-event=""Reveal1"">
<p>Compare your answers:</p>
<p>Table A: 32.5 when \(x\) is 4, and 190 (or \(2.5+25 \cdot 7.5\)) when \(x\) is 25.</p>
</div>",Alg1_5_5_1_WU_2,"A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,cc5e36e1-0279-5845-a28a-39cdd69d59f7",259a08d0-36dc-4e41-bd40-0d48adf31822
,045b5e4d-ad1c-4f1c-9e6b-17a0db83d3cb.html,WU_3,0,open_ended,"<p>Which one doesn’t belong?</p>
<p>\(f(n)=8 \cdot 2^n\)</p>
<p>\(g(n)=2 \cdot 8^n\)</p>
<p>\(h(n)=8+2n\)</p>
<p>\(j(n)=8 \cdot (\frac{1}{2})^n\)</p><br/><p>Write down your answer, then select the <strong>solution</strong> button to compare your work. </p>","
<p>Compare your answer:</p>
<p>\(f\) is the only one that doubles when \(n\) increases by 1.</p>
<p>\(g\) is the only one that does not have 8 for its vertical intercept.</p>
<p>\(h\) is the only one that is not an exponential function.</p>
<p> \(j\) is the only one that is not increasing.</p>
",,,,,,,,,,,,,,,Alg1_5_13_1_WU_3,"A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,cc5e36e1-0279-5845-a28a-39cdd69d59f7",74ab219b-02c5-492f-98b5-61a3dd793e4f
79719b29-e056-4e5a-85b9-40c373225c3c,0deaea55-8ef9-43c5-a746-a53c0a739095.html,WU_4,0,open_ended,"<ol class=""os-raise-noindent"">
<li>\(n = 5\)</li>
</ol>
<p>Enter your answer here:</p>",<p>Check your answer with the solution: 8</p>,,,,,,,,,,,,,,"<p>Your teacher will assign you one of these expressions:</p><p>\( \dfrac {n^2 - 9}{2(4-3)}\qquad \text{or} \qquad (n+3)\cdot \dfrac {n-3}{8-3\cdot2} \)</p><p>For numbers 1 - 4, evaluate your expression when \(n\) is the given value.</p>",Alg1_1_6_1_WU_4,A1.5.A,f2978b80-66c9-530f-bcb2-53d438f51304,d3f3cfa2-e912-493d-be0c-7b6dbec58a82
