data_content_id,filename,multi_step_id,block_index,rex_type,question_content,detailed_solution,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_F,Feedback_A,Feedback_B,Feedback_C,Feedback_D,Feedback_E,Feedback_F,correct_answer,background
015f7b2e-1115-446b-8523-24b579b49dd0__block0,015f7b2e-1115-446b-8523-24b579b49dd0.html,AR_1,0,open_ended,"<p>Explain what \(f(C)\) means in this graph.</p><br/><p>Write down your answer, then select the <strong>solution</strong> button to compare your work.
    </p>","
<p>Here is how to explain \(f(C)\) in the graph:</p>
<p>\(f(C)\) tells you to look at the height of the graph when \(x=C\).</p>
<p>This point on the graph is the highest point, or maximum.</p>
",,,,,,,,,,,,,,"<p>
 A ball is thrown across the field from point \(A\) to point \(B\). It hits the ground at point \(B\). The path of the ball is shown in the diagram below. The \(x\)-axis shows the horizontal distance the ball travels in feet, and the \(y\)-axis shows the height of the ball in feet.
</p>
<p>
 <img alt=""A GRAPH THAT SHOWS THE HEIGHT OF A BALL IN FEET AS A FUNCTION OF THE HORIZONTAL DISTANCE THE BALL TRAVELS IN FEET WITH A \(y\)-intercepts OF A AND \(x\)-intercepts OF B."" class=""img-fluid atto_image_button_text-bottom"" height=""286"" src=""https://k12.openstax.org/contents/raise/resources/c4b05b9a3e4017c647d7a55d809600b48753f3f0"" width=""300""/>
</p>"
02e81ae9-e31c-4870-a98a-661592bb6748__block0,02e81ae9-e31c-4870-a98a-661592bb6748.html,AR_2,0,open_ended,"<p>What is the value of the vertical intercept (\(y\)-intercept) and what does it mean in the function?</p>
<p><img height=""231"" src=""https://k12.openstax.org/contents/raise/resources/32a38b72c84f4afe7093510818605bcc7a9b6d4f"" width=""311""/></p><br/><p>Write down your answer. Then select the <strong>solution</strong> button to compare your work. </p>","
<p>Here is how to determine the \(y\)-intercept:</p>
<p>The vertical intercept, or \(y\)-intercept, is where the graph crosses the \(y\)-axis. It occurs when \(x=0\). You can also identify the \(y\)-intercept by looking at the constant in the function. This occurs at \(y=5\). The point is (0,5). The \(y\)-intercept represents the initial height. It means the object is thrown from 5 feet above the ground.</p>
",,,,,,,,,,,,,,"<p>
 An object is thrown upward from a height of 5 feet with a velocity of 60 feet per second. Its height h(t) in feet after \(t\) seconds is modeled by the function \(h(t)=5+60t-16t^2\) and graphed below.
</p>"
0473bbbb-a848-4bf7-a1de-4f83cbfe3e1b__block0,0473bbbb-a848-4bf7-a1de-4f83cbfe3e1b.html,AR_3,0,open_ended,"<p>Solve the following system of equations using elimination:</p>
<p>\[\left\{\begin{array}{l}7x+8y=4\\3x-5y=27\end{array}\right.\]</p><br/><p>Write down your answer. Then select the <strong>solution </strong>button to compare your work.</p>","
<p><strong>Step 1 - </strong>Write both equations in standard form. If any coefficients are fractions, clear them.<br/><br/>
          \(7x+8y=4\)<br/>
          \(3x–5y=27\)<br/><br/>
<strong>Step 2 - </strong>Check to see if the coefficients of one variable are opposites or equivalent. To get opposite coefficients of \(y\), we will need to multiply the first equation by 5 and the second equation by 8.<br/><br/>
          \(5(7x+8y)=5(4)\)
          \(8(3x–5y)=8(27)\)<br/><br/>
<strong>Step 3 - </strong>Simplify. <br/><br/>
          \(35x+40y=20\)<br/>
          \(24x–40y=216\)<br/><br/>
<strong>Step 4 - </strong>Add the equations to eliminate one variable. <br/><br/>
          \(\begin{array}{r}35x+40y=20\\24x–40y=216\\ \hline 59x=236\\\end{array}\)<br/><br/>
<strong>Step 5 - </strong>Solve for the remaining variable.<br/><br/>
          \(59x=236\)<br/>
          \(x=4\)<br/><br/>
<strong>Step 6 - </strong>Substitute the solution into one of the original equations. Then solve for the other variable.<br/><br/>
            \(59x=236\)<br/>
            \(x=4\)<br/><br/>
<!--BEGIN ALIGN TO EQUALS -->
            \(\begin{array}{rcl}7x+8y&amp;=&amp;4
            \\    7(4)+8y&amp;=&amp;4
                \\28+8y&amp;=&amp;4
                \\8y&amp;=&amp;-24
                \\y&amp;=&amp;-3
                \\  \end{array}\)<br/><br/>
<!--END ALIGN TO EQUALS -->
<strong>Step 7 - </strong>Check that the ordered pair is a solution to both original equations.<br/><br/>
<!--BEGIN SIDE BY SIDE EQUATIONS-->
          \(\begin{array}{rr}
          7x+8y=4  &amp; 3x–5y=277\\
          7(4)+8(−3) \overset?=4 &amp; 3(4)–5(−3)\overset?=277 \\
          20−24 \overset?=4 &amp; 3(4)–5(−3)\overset?=277 \\
          4=4\checkmark &amp; 27=27\checkmark
          \end{array}\) <br/><br/>
<!--END SIDE BY SIDE EQUATIONS -->

          The solution is \((0,-3)\).
    </p>
",,,,,,,,,,,,,,
068a5358-d013-4544-9566-5358e3677fc9__block0,068a5358-d013-4544-9566-5358e3677fc9.html,AR_4,0,open_ended,"<ol class=""os-raise-noindent"" type=""a"">
<li> Write an expression to represent how much is left after 1 hour. </li>
<li> Write an expression to represent how much is left after 3 hours. </li>
<li> Write an equation that represents the amount of drug, \(d\), left after \(h\) hours. </li>
</ol><br/><p>Write down your answer, then select the <strong>solution</strong> button to compare your work. </p>","
<p>Compare your answers:</p>
<p>Here is how to analyze the exponential decay situation:</p>
<p>In part a, you need to multiply the initial amount by \(\frac{7}{10}\), or \(125 \cdot \frac{7}{10}\), or 87.5 mg.</p>
<p>In part b, since it’s 3 hours later, it would be \(125 \cdot \frac{7}{10} \cdot \frac{7}{10} \cdot \frac{7}{10}\), or \(125 \cdot (\frac{7}{10})^3\), or 42.875 mg.</p>
<p>The equation that represents the situation for part c is \(d =125 \cdot (\frac{7}{10})^h\).</p>
",,,,,,,,,,,,,,"<p>
 A doctor prescribes 125 milligrams of a therapeutic drug that decreases in effectiveness by \(\frac{3}{10}\) each hour.
</p>"
07081f61-c404-4f36-af60-927ec082eb72__block0,07081f61-c404-4f36-af60-927ec082eb72.html,AR_5,0,open_ended,"<p>Solve \(x^2+4x=5\) by completing the square.</p><br/><p>Write down your answer, then select the <strong>solution</strong> button to compare your work.</p>","
<p>Here is how to solve this quadratic using completing the square:</p>
<p><strong>Step 1</strong> - Isolate the constants on one side of the equation.<br/>
    \(x^2+4x=5\) </p>
<p><strong>Step 2</strong> - Find \((\frac{b}{2})^2\). Add this number to both sides of the equation.<br/>
    \(b=4\), \((\frac{4}{2})^2=2^2=4\)<br/>
    \(x^2+4x+4=5+4\)<br/>
    \(x^2+4x+4=9\) </p>
<p><strong>Step 3</strong> - Factor the perfect square trinomial.<br/>
    \((x+2)^2=9\)</p>
<p><strong>Step 4</strong> - Use the square root property.<br/>
    \(\sqrt{(x+2)^2}=9\)<br/>
    \(x+2= \pm \;3\)</p>
<p><strong>Step 5</strong> - Separate into two equations and solve.<br/>
    \(x+2=-3\)          \(x+2=3\)<br/>
    \(x =-5\)             \(x=1\)</p>
<p><strong>Step 6</strong> - Check into the original equation.<br/>
    \(x=-5\)<br/>
    \((-5)^2+4(-5)=5\)<br/>
    \(25+-20=5\) </p>
<p> \(x=1\)<br/>
    \(1^2+4(1)=5\)<br/>
    \(5=5\)</p>
",,,,,,,,,,,,,,
0732e928-c0ff-4a26-bc69-bcac7c17fdde__block0,0732e928-c0ff-4a26-bc69-bcac7c17fdde.html,AR_6,0,open_ended,"<p>Write down your answer, then select the <strong>solution</strong> button to compare your work.
    </p>","
<p>Compare your answer:</p>
<p>Here is how to find the rate of change of the linear function:</p>
<p>Identify two points on the graph.</p>
<p>Use \((0, 0)\) and \((7, 4)\).</p>
<p>Find the slope: </p>
<p>\(m=\frac{y_2-y_1}{x_2-x_1}=\frac{4-0}{7-0}=\frac47\)</p>
<p>The slope is \(\frac47\), so, the rate of change is \(\frac47\) gallons per minute.</p>
",,,,,,,,,,,,,,"<p>
 The function \(V(x)\) gives the volume of water that flows from a faucet in gallons during \(𝒙\) minutes. \(V(x)\) is a linear function with the graph shown.What is the rate of change of the volume?
</p>
<br/>
<p>
 <img alt=""VOLUME IN GALLONS AS A FUNCTION OF TIME IN MINUTES. THE LINE PASSES THROUGH THE POINTS (0, 0) ANGRAPH THAT SHOWSD (7, 4)."" src=""https://k12.openstax.org/contents/raise/resources/ce902e5f4704f14ce0e9553983f400bf1a4a515c"" width=""300""/>
</p>"
09cc9ae6-4f78-4f31-bff3-808c0e27279d__block0,09cc9ae6-4f78-4f31-bff3-808c0e27279d.html,AR_7,0,open_ended,"<p>Solve \((x-2)^2=17\).</p><br/><p>Write down your answer, then select the <strong>solution</strong> button to compare your work.</p>","
<p>Here is how to solve this quadratic equation:</p>
<p><strong>Step 1</strong> - Make sure the quadratic is isolated on one side.<br/>
    \((x-2)^2=17\)</p>
<p><strong>Step 2</strong> - Take the square root of both sides.<br/>
    \(\sqrt{(x-2)^2}= \pm \sqrt{17}\)</p>
<p><strong>Step 3</strong> - Simplify.<br/>
    \(x-2= \pm \sqrt{17}\)</p>
<p><strong>Step 4</strong> - Solve the equation. For this problem, add 2 to each side.<br/>
    \(
    x-2+2=2 \pm \sqrt{17}\)</p>
<p><strong>Step 5</strong> - Simplify.<br/>
    \(x=2- \sqrt{17}\), \(x=2+ \sqrt{17}\)</p>
",,,,,,,,,,,,,,
84402d7d-cb85-4070-8f50-4227e8cccaf2,0a23c67c-2e90-46b7-9cbf-5b8a62487ae0.html,AR_8,0,open_ended,<p>Write the equation \(y-3=2(x+5)\) in standard form.</p><br/><p>Enter your answer here:</p>,"<p>Compare your answer: \(2x-y=-13\)</p>
<br/>
<p><strong>Step 1</strong> - Distribute.<br/>
      \(y-3=2x+10\)</p>
<p><strong>Step 2</strong> - Rearrange terms so the \(x\) term and the \(y\) term are both on the left side of the equation.<br/>
      Subtract \(2x\) from both sides.<br/>
      \(y-3-2x=2x-2x+10\)</p>
<p><strong>Step 3</strong> - Simplify.<br/>
      \(y-3-2x=10\)</p>
<p><strong>Step 4</strong> - Bring the constants to the right side.<br/>
      Add 3 to both sides.<br/>
      \(y-3-2x+3=10+3\)</p>
<p><strong>Step 5</strong> - Simplify.<br/>
      \(y-2x=13\)</p>
<p><strong>Step 6</strong> - Write the \(x\) term before the \(y\) term.<br/>
      \(-2x+y=13\)</p>
<p><strong>Step 7</strong> - Multiply each term by -1.<br/>
      Standard form cannot lead with a negative.<br/>
      \(-1(-2x+y=13)\)</p>
<p><strong>Step 8</strong> - Simplify.<br/>
      \(2x-y=-13\)</p>",,,,,,,,,,,,,,
0a456b41-3d8e-468a-a992-038a35d790aa__block0,0a456b41-3d8e-468a-a992-038a35d790aa.html,AR_9,0,open_ended,"<p>Determine if \(4x(x-2)\) is a quadratic in standard form.</p><br/><p>Write down your answer, then select the <strong>solution</strong> button to compare your work. </p>","
<p>Here is how to determine if the expression is in standard form:</p>
<p>This expression is in factored form. If the \(4x\) is distributed, the expression becomes \(4x^2-8x\), which is in standard form.</p>
",,,,,,,,,,,,,,
0b90298b-9627-4f1b-b18b-8f6390984225__block0,0b90298b-9627-4f1b-b18b-8f6390984225.html,AR_10,0,open_ended,"<p>Will the keys in the situation above reach the ground after 5 seconds?</p><br/><p>Write down your answer, then select the <strong>solution</strong> button to compare your work. </p>","
<p>Here is how to determine if the keys reach the ground after 5 seconds:</p>
<p><strong>Step 1</strong> - Write an equation for the height at a given time, \(t\).<br/>
    \(h(t)=196-16t^2\)</p>
<p><strong>Step 2</strong> - Substitute \(t=5\) into the function.<br/>
    \(h(5)=196-16(5)^2\)</p>
<p><strong>Step 3</strong> - Evaluate.<br/>
    \(h(5)=196-400=-204\)</p>
<p>The keys reach the ground before \(t=5\) seconds since substituting in 5 creates a negative height, which implies they have fallen below ground level and does not make sense for this scenario.</p>
",,,,,,,,,,,,,,
