data_content_id,filename,multi_step_id,block_index,rex_type,question_content,detailed_solution,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_F,Feedback_A,Feedback_B,Feedback_C,Feedback_D,Feedback_E,Feedback_F,correct_answer,background,nickname,TEKS,machine_readable_teks,section_UUID
8349eeef-9ab1-4105-bcd7-065b0c411f0f,0306ec90-5867-4f60-bc5b-34ceeaa5c260.html,CD_1,0,multiple_choice,"<ol class=""os-raise-noindent"">
<li>Which of the following could define function \(g\)? Be prepared to show your reasoning.</li>
</ol>",,\(g(x)=20 \cdot (1.5)^x\),\(g(x)=20 \cdot (2.5)^x\),\(g(x)=10 \cdot (3.5)^x\),\(g(x)=20 \cdot (4.5)^x\),,,,<p>Correct! </p>,,,,,B,"<p>
 Examine the three graphs representing three exponential functions: \(f\), \(g\), and \(h\).
</p>
<br/>
<p>
 <img alt="""" role=""presentation"" src=""https://k12.openstax.org/contents/raise/resources/c91699a5862502edaffc0fc9cafd5d89472eebad"" width=""400""/>
</p>
<br/>
<p>
 The functions \(f\) and \(h\) are defined as:
</p>
<ul>
 <li>
  \(f(x)=10 \cdot 2^x\)
 </li>
 <li>
  \(h(x)=20 \cdot 4^x\)
 </li>
</ul>",Alg1_5_12_4_CD_1,"A1.3.E,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,cc5e36e1-0279-5845-a28a-39cdd69d59f7,fc95a2e6-ee9b-59b4-b1ed-8be4d5c73f16",6729ab16-b788-4137-ac3b-733b3dabef62
,0306ec90-5867-4f60-bc5b-34ceeaa5c260.html,CD_1,1,open_ended,"<ol class=""os-raise-noindent"" start=""2"">
<li>Explain your reasoning.</li>
</ol><br/><p>Write down your answer, then select the <strong>solution</strong> button to compare your work. </p>","
<p>Compare your answer:</p>
<p>The graph of \(g\) has the same \(y\)-intercept as the graph of \(h\), which is 20. It grows more quickly than \(f\) but more slowly than \(h\),<i> </i>so the growth factor must be greater than 2 but less than 4.</p>
",,,,,,,,,,,,,,"<p>
 Examine the three graphs representing three exponential functions: \(f\), \(g\), and \(h\).
</p>
<br/>
<p>
 <img alt="""" role=""presentation"" src=""https://k12.openstax.org/contents/raise/resources/c91699a5862502edaffc0fc9cafd5d89472eebad"" width=""400""/>
</p>
<br/>
<p>
 The functions \(f\) and \(h\) are defined as:
</p>
<ul>
 <li>
  \(f(x)=10 \cdot 2^x\)
 </li>
 <li>
  \(h(x)=20 \cdot 4^x\)
 </li>
</ul>",Alg1_5_12_4_CD_1,"A1.3.E,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,cc5e36e1-0279-5845-a28a-39cdd69d59f7,fc95a2e6-ee9b-59b4-b1ed-8be4d5c73f16",6729ab16-b788-4137-ac3b-733b3dabef62
7732dd9d-d1a9-4849-b18e-66585451aae1,050b01d2-b292-40bc-a6e7-4798f191b9cd.html,CD_2,0,open_ended,"<ol class=""os-raise-noindent"">
<li>What is the width, or shorter side, of the picture without the frame?</li>
</ol><br/><p>Enter the width.</p>","<p>Compare your answer:</p>
<p> 8 inches</p>",,,,,,,,,,,,,,"<p>
 A framed picture has a total area \(y\), in square inches. The thickness of the frame is represented by \(x\), in inches. The equation \(y = (2x + 8)(2x + 10)\) relates these two variables.
</p>",Alg1_8_1_4_CD_2,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0,b7f1423b-d8e7-44df-92f5-0e24ddb90ac0
dbaf4a14-8def-491b-8b38-308df7ee5a31,050b01d2-b292-40bc-a6e7-4798f191b9cd.html,CD_2,1,open_ended,"<ol class=""os-raise-noindent"" start=""2"">
<li>What is the length, or longer side, of the picture without the frame?</li>
</ol><br/><p>Enter the length.</p>","<p>Compare your answer:</p>
<p> 10 inches</p>",,,,,,,,,,,,,,"<p>
 A framed picture has a total area \(y\), in square inches. The thickness of the frame is represented by \(x\), in inches. The equation \(y = (2x + 8)(2x + 10)\) relates these two variables.
</p>",Alg1_8_1_4_CD_2,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0,b7f1423b-d8e7-44df-92f5-0e24ddb90ac0
dffab066-0157-465b-bacb-e7a287bc29ae,050b01d2-b292-40bc-a6e7-4798f191b9cd.html,CD_2,2,open_ended,"<ol class=""os-raise-noindent"" start=""3"">
<li>What would a solution to the equation \(100 = (2x + 8)(2x + 10)\) mean in this situation?</li>
</ol><br/><p>Enter your explanation.</p>","<p>Compare your answer:</p>
<p> The solution would represent the thickness of a frame that results in a total area of 100 square inches.</p>",,,,,,,,,,,,,,"<p>
 A framed picture has a total area \(y\), in square inches. The thickness of the frame is represented by \(x\), in inches. The equation \(y = (2x + 8)(2x + 10)\) relates these two variables.
</p>",Alg1_8_1_4_CD_2,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0,b7f1423b-d8e7-44df-92f5-0e24ddb90ac0
968bdd7d-54b5-4a47-bbd1-3fe4705e31ae,074f4dbf-0dd6-4051-b4c1-238539797d27.html,CD_3,0,open_ended,"<ol class=""os-raise-noindent"">
<li>\(x^2 \;+\) __\(x\;+\) __ and \((x + 1)(x + 17)\)</li>
</ol><br/><p>Enter the missing numbers.</p>","<p>Compare your answer:</p>
<p>18 and 17, respectively. The completed expression is \(x^2+18x +17\).</p>",,,,,,,,,,,,,,"<p>
 The problems below consist of pairs of equivalent expressions: one in standard form and the other in factored form. Note that the leading coefficients on the quadratic terms are all 1.
</p>
<p>
 Find the missing numbers.
</p>",Alg1_8_6_4_CD_3,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0,bde116a1-05ea-4f0d-b831-6e7f8b51f078
246b1091-8cbd-4dc0-b8dc-1e66b17fcef4,074f4dbf-0dd6-4051-b4c1-238539797d27.html,CD_3,1,open_ended,"<ol class=""os-raise-noindent"" start=""2"">
<li>\(x^2+9x +14\) and \((x + 2)(x\; +\) __\()\)</li>
</ol><br/><p>Enter the missing number.</p>","<p>Compare your answer:</p>
<p> 7. The completed expression is \((x + 2)(x + 7)\).</p>",,,,,,,,,,,,,,"<p>
 The problems below consist of pairs of equivalent expressions: one in standard form and the other in factored form. Note that the leading coefficients on the quadratic terms are all 1.
</p>
<p>
 Find the missing numbers.
</p>",Alg1_8_6_4_CD_3,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0,bde116a1-05ea-4f0d-b831-6e7f8b51f078
e8d9d200-4613-4a72-a0bb-8276e6589323,074f4dbf-0dd6-4051-b4c1-238539797d27.html,CD_3,2,open_ended,"<ol class=""os-raise-noindent"" start=""3"">
<li>\(x^2−7x +10\) and \((x − 2)(x\; −\) __\()\)</li>
</ol><br/><p>Enter the missing number.</p>","<p>Compare your answer:</p>
<p> 5. The completed expression is \((x − 2)(x − 5)\).</p>",,,,,,,,,,,,,,"<p>
 The problems below consist of pairs of equivalent expressions: one in standard form and the other in factored form. Note that the leading coefficients on the quadratic terms are all 1.
</p>
<p>
 Find the missing numbers.
</p>",Alg1_8_6_4_CD_3,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0,bde116a1-05ea-4f0d-b831-6e7f8b51f078
26bd49f5-94b8-4b6a-b0f3-ea61dac85df8,074f4dbf-0dd6-4051-b4c1-238539797d27.html,CD_3,3,open_ended,"<ol class=""os-raise-noindent"" start=""4"">
<li>\(x^2−9x +20\) and \((x\; −\) __)\((x\; −\) __\()\)</li>
</ol><br/><p>Enter the missing numbers.</p>","<p>Compare your answer:</p>
<p> 4 and 5. The completed expression is \((x − 4)(x − 5)\).</p>",,,,,,,,,,,,,,"<p>
 The problems below consist of pairs of equivalent expressions: one in standard form and the other in factored form. Note that the leading coefficients on the quadratic terms are all 1.
</p>
<p>
 Find the missing numbers.
</p>",Alg1_8_6_4_CD_3,A1.8.A,c663451e-af7c-541e-810a-0b632bfde4f0,bde116a1-05ea-4f0d-b831-6e7f8b51f078
004a7e6a-ffb0-426f-b6d8-daf517106606,08217b05-5c68-4ad1-9c60-dab706803f98.html,CD_4,0,open_ended,"<ol class=""os-raise-noindent"">
<li>If \( x \) represents the number of entry tickets sold and \( y \) the hours of space rental, which inequality represents the constraints in the situation?</li>
</ol>
<ol class=""os-raise-noindent"" type=""a"">
<li>\( 8x-40y&lt;600 \)</li>
<li>\( 8x-40y\leq600 \)</li>
<li>\( 8x-40y&gt;600 \)</li>
<li>\( 8x-40y\geq600 \)</li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p>d</p>",,,,,,,,,,,,,,"<p>
 To raise money for after-school programs at an elementary school, a group of parents is holding a weekend of games in a community center. They charge $8 per person for entry into the event. The group would like to earn at least $600, after paying for the cost of renting the space, which is $40 an hour.
</p>",Alg1_2_12_5_CD_4,"A1.2.H,A1.3.D","049d88a4-2acc-5ede-b592-16bd767a2549,f77dc072-6954-51ca-ba17-370f02ef6bf3",27f8ef18-d98d-49ca-a4bd-2e25a1ac5b24
